2019-06-17 01:09:25,668 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:09:25,824 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-17 01:09:25,824 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 01:09:26,155 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a7906431-6521-479d-b2fa-2a29563cefb2, Nodes: bfb30b0b-56cc-462f-a25f-c8247c149857{ip: 96.238.254.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,155 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fa85b55e-5dc9-4c06-b21f-ed2bfab5bfd7, Nodes: 13c99bf8-01d9-46cc-8c88-ca146efd26c5{ip: 152.115.202.121, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,156 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: da4dc7b4-3487-4617-9767-13ff5ed774fe, Nodes: bfb30b0b-56cc-462f-a25f-c8247c149857{ip: 96.238.254.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,156 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f21ec772-92e1-482e-aa68-0157bf41912a, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,157 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 15100410-0747-4c8d-8659-64d9a241083e, Nodes: 012139ea-e1fb-418c-9216-87859fc5e9b0{ip: 52.37.119.70, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,157 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 36e6e7b8-a046-4ba5-8eab-bbec303a3b3b, Nodes: 76971759-1d4e-482b-b8e5-5c02de65abaf{ip: 180.82.84.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,158 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 58807bd3-e28e-46ad-b011-6593d38d2ec1, Nodes: 9e72ca9c-1b6a-4811-8920-371725c58128{ip: 83.176.153.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,158 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cb4ed593-a370-445d-9e66-b39d4ce0eda3, Nodes: bfb30b0b-56cc-462f-a25f-c8247c149857{ip: 96.238.254.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,159 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 69715fb9-50fa-4959-8225-57a2d58dabaf, Nodes: 76971759-1d4e-482b-b8e5-5c02de65abaf{ip: 180.82.84.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,159 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 54081338-547b-4461-b81a-8cbd7e44aa10, Nodes: 76971759-1d4e-482b-b8e5-5c02de65abaf{ip: 180.82.84.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,161 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f8690068-f232-408b-8dce-4ab4902bfbe3, Nodes: d173957b-7d0b-459d-9874-a872893b47be{ip: 138.175.51.137, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 01:09:26,162 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6d61592f-7d91-477c-b586-3d73b9d7ab43, Nodes: 76971759-1d4e-482b-b8e5-5c02de65abaf{ip: 180.82.84.126, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
