2019-06-16 22:16:39,732 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0f6391d2-96e6-4a0e-84b7-bbbab49e84ff, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,733 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 65f3112b-2b5c-4c8d-8bae-dc85b197272d, Nodes: 6ba11038-229c-4c5d-8ab3-827e4a028b67{ip: 209.42.111.155, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,733 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6f20ed1b-b31a-4449-8656-1f530518707c, Nodes: b1941c48-0b1a-45ba-8dcc-86e4ad264293{ip: 156.239.10.46, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,734 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 76ae3653-008f-4f0a-806c-424fadd9cead, Nodes: 2671b0b3-6e8b-410f-9504-5469c5581a47{ip: 142.80.23.158, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 27bc88a7-76e3-48e6-b8db-b524f118d433, Nodes: 6485b1fb-a24e-44d7-8bb7-d9eb6853aa5f{ip: 141.222.125.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,735 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 458e55b7-92e8-4a33-a542-c65b07d64587, Nodes: 4ef0c660-c270-4f61-9de0-8fbf6041ccbf{ip: 45.227.136.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ad9a3df-714c-4162-ac90-a1af8737c946, Nodes: 6485b1fb-a24e-44d7-8bb7-d9eb6853aa5f{ip: 141.222.125.50, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,736 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f8cd7419-02d9-494c-8d45-d23e97a215e3, Nodes: 0c5692f9-75b1-452c-901d-940f546a77e4{ip: 215.239.179.76, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 250126f0-383c-4e96-be48-471f82caefb8, Nodes: 4ef0c660-c270-4f61-9de0-8fbf6041ccbf{ip: 45.227.136.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,737 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b89791e2-55e9-43f7-a0db-49e459c378f5, Nodes: bcecc318-a930-41eb-b108-1912bd98ca11{ip: 34.163.165.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,738 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d48e6e03-fd27-451f-9243-314ecc08f55a, Nodes: 98fff66b-221b-4651-97f2-205471389e50{ip: 2.135.178.252, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,739 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6807970a-5c65-4914-a31b-a8978268129a, Nodes: 4ef0c660-c270-4f61-9de0-8fbf6041ccbf{ip: 45.227.136.244, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:16:39,740 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10d57d8b-2694-4de8-9b6f-1d89259e8529, Nodes: 6ba11038-229c-4c5d-8ab3-827e4a028b67{ip: 209.42.111.155, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
