2019-06-16 22:12:10,799 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0d79d230-5a92-493b-a9da-be22e8d7cc9c, Nodes: 77067cf4-44e5-4769-97aa-d741e7f87f96{ip: 159.113.9.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,800 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 869df8e3-6084-49b8-a5a8-9f7376d41a27, Nodes: f87991f6-8bdc-472f-ac59-b4d162d764d2{ip: 218.78.137.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,801 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 78ef4101-44ef-49d0-bfa8-f747faa64272, Nodes: 7f56b330-9443-44bc-abef-fd4788d33d13{ip: 164.87.150.107, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,801 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b0578233-9608-4348-9cee-71e144d2ee4c, Nodes: 44723c6e-8805-4691-827d-e90f9ae7ddb8{ip: 169.182.172.19, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,802 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3c5ec1d0-6c99-480c-b3f7-7e28753f5cd3, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,803 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d2614835-ce5a-47a3-ad71-c3d9dcb998ec, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,803 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 322ce568-11fa-48ee-94bb-681669dd736f, Nodes: eb765e51-c48e-471f-b531-a3c60320bafc{ip: 39.159.147.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,804 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fc287e86-d505-4a82-9e44-c43745889643, Nodes: f87991f6-8bdc-472f-ac59-b4d162d764d2{ip: 218.78.137.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,806 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7b207ff0-31d5-447f-bad1-2737d663ce08, Nodes: 9631f3e7-ed50-4f4b-8ee2-6b885c237584{ip: 208.201.78.61, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-16 22:12:10,807 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ba3cd5d-40cd-4288-8d00-abf6851a84a2, Nodes: 77067cf4-44e5-4769-97aa-d741e7f87f96{ip: 159.113.9.235, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
