2019-06-17 10:55:51,668 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 402258d7-eafa-4bb6-bf91-040bcb926d06, Nodes: 93c0fcb2-eecc-4727-a56c-36e1e5047695{ip: 128.69.199.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,669 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9f8af9c4-0d01-4622-af99-12e314e94c9d, Nodes: 9ed4a8ee-11f5-4c53-b592-69d2691b2e54{ip: 3.3.117.118, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,669 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0468a05-7894-4026-aa69-e378c1cdccc9, Nodes: 93c0fcb2-eecc-4727-a56c-36e1e5047695{ip: 128.69.199.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,670 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 62b0d02b-dacd-425e-a2c1-1e6963b6bd83, Nodes: d81f6d61-b8ac-4a79-b8c7-367da122f21c{ip: 233.70.89.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,671 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 0dfd75f9-4fa7-40e9-9404-62a914d3b139, Nodes: 93c0fcb2-eecc-4727-a56c-36e1e5047695{ip: 128.69.199.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,672 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6444911a-72f0-44e9-a7bc-7d5faba0d196, Nodes: b455c611-d211-4362-8a5c-6c03005bbe61{ip: 128.61.123.34, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,672 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b75ae8fe-8c5a-43ec-99d6-d4e64bf1251d, Nodes: 93c0fcb2-eecc-4727-a56c-36e1e5047695{ip: 128.69.199.228, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,673 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2844044f-8a1a-4ef7-8fec-a6a351924009, Nodes: 356692c7-c286-47ee-a1d5-732f37c1eb53{ip: 206.162.179.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,674 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e57edee-c462-43f4-bcb6-880f6c901db4, Nodes: b0a6e3f3-6d11-4b2e-967c-4d4933a45e01{ip: 95.120.166.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,674 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 78251d65-fae3-4fdc-8701-4274d3cc23aa, Nodes: 356692c7-c286-47ee-a1d5-732f37c1eb53{ip: 206.162.179.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,675 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c86efb61-c835-4c09-b092-09c9c1e45a69, Nodes: b0a6e3f3-6d11-4b2e-967c-4d4933a45e01{ip: 95.120.166.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,676 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cf4efca1-9a9a-4045-b7ce-2393ca5cf7e6, Nodes: 356692c7-c286-47ee-a1d5-732f37c1eb53{ip: 206.162.179.103, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,678 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a8153b17-e3a2-4e06-bc91-c850079b3289, Nodes: d81f6d61-b8ac-4a79-b8c7-367da122f21c{ip: 233.70.89.213, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 10:55:51,680 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a42b2545-857c-4845-88d6-d334e69480e6, Nodes: 0c80bc97-e52c-4d1d-b656-5adeff268f2b{ip: 55.18.196.67, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
