2019-06-15 12:32:22,697 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 12:32:22,912 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 12:32:22,913 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 12:32:23,312 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ab2f1d6d-6105-4984-b642-e7d1af06a20d, Nodes: 5af913da-5001-4e6b-a5f6-3eda2c2693c0{ip: 112.133.230.32, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,313 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 53b18dbf-07d1-425d-ab00-6cd542d3c5fc, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,313 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 904e611f-2261-4afd-99de-77833b7f08a6, Nodes: 88e76b48-29aa-4af9-8589-a237a611cec9{ip: 64.73.252.78, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,314 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: dd3e6ccc-80bc-416d-b2d7-0d0ef4aa8ee1, Nodes: f161f9e2-7b44-47d3-99ec-0ff827efdb38{ip: 49.153.112.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,315 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 68c9f3bf-d5ac-4aef-aeb8-e0faa65411f9, Nodes: 7b2e540b-762b-45f9-b30e-13e683750ffd{ip: 63.223.66.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,315 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4c7ec009-8a20-4281-ba43-5ec9568307a5, Nodes: 7b2e540b-762b-45f9-b30e-13e683750ffd{ip: 63.223.66.117, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,316 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6a20ebda-1840-4e0a-965c-677e5da771e8, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,317 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 120db5e7-1b84-48fb-bbfc-723c17d034c0, Nodes: f161f9e2-7b44-47d3-99ec-0ff827efdb38{ip: 49.153.112.63, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,318 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f5a3fac3-36b2-467a-a005-18e04aa95773, Nodes: c83dbbd2-7b75-441c-a068-6af433301316{ip: 151.73.22.84, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 12:32:23,319 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 35c59703-fce3-4e39-9e1f-49c35987e719, Nodes: f0ff2144-6fb6-4c90-9760-d415ceadf72e{ip: 149.69.122.80, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
