2019-06-18 04:30:55,800 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 04:30:56,376 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c042349a-4244-403b-94c2-05b4c974d93c, Nodes: c489f549-1a5c-428c-b7c1-3f05617d54b4{ip: 114.114.164.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,377 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b95ec4c4-5e3b-461d-ad19-5b62f369e786, Nodes: a7862b11-0f51-4f55-9fdc-3aa02a7d9c90{ip: 29.98.81.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,377 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 96c2a35c-d396-4a69-b6bd-c8eb72458065, Nodes: 4ea2b856-b382-4363-adcd-124941efb202{ip: 192.219.172.216, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,378 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 906da85c-a031-4da0-b66e-b279465d553c, Nodes: a7862b11-0f51-4f55-9fdc-3aa02a7d9c90{ip: 29.98.81.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,379 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c0468d31-c4c7-4a10-a007-04b79f11ea0d, Nodes: 57786ffb-68b7-4385-bdd3-826c9f123c26{ip: 225.151.146.248, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,379 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 2234819f-ca61-46c3-8983-d0dab326b187, Nodes: edcb4816-5a40-4e25-9ad3-85707a855e5b{ip: 177.200.38.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,380 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 31d06a0d-0d47-403b-8d78-35855ec74b09, Nodes: bdd317e3-19e2-41c9-8089-6ba5d8f533e3{ip: 163.23.28.23, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,380 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fb71a4e6-510c-49ee-8258-d3cff5586e52, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,381 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e0895f06-ef83-451c-b34d-5b174b3de127, Nodes: edcb4816-5a40-4e25-9ad3-85707a855e5b{ip: 177.200.38.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,381 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f984e42f-6a58-4717-9d30-8201af145d7f, Nodes: edcb4816-5a40-4e25-9ad3-85707a855e5b{ip: 177.200.38.178, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,382 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fab01dbb-f762-4d1d-9cbb-b7915f444a30, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,383 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7c78c0be-05e7-438a-ac2e-cc160e62c398, Nodes: 5bc46636-6622-4820-8044-2409967b0aa3{ip: 101.84.118.191, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,384 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f0e21938-3918-4c44-8320-45488491d9c6, Nodes: c489f549-1a5c-428c-b7c1-3f05617d54b4{ip: 114.114.164.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 04:30:56,386 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ede9f0a8-4591-447b-80fb-08d6707b4e92, Nodes: c489f549-1a5c-428c-b7c1-3f05617d54b4{ip: 114.114.164.53, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
