2019-06-17 08:55:44,973 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 08:55:45,500 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7208c837-dc83-4580-a907-0f8155ad3156, Nodes: dd7c3732-6ec9-4bbe-abf0-c12b9c60602e{ip: 161.114.6.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,500 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 00d1f5e9-f3a0-49ae-bca8-fb0b1cab5d08, Nodes: c05e3d72-c511-4b48-b522-93ac7368c7f5{ip: 223.127.75.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,501 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f94462ad-4dea-4220-8c11-99521f38ec24, Nodes: a51d5196-ed12-4ff4-8896-a9fe5a0bb653{ip: 83.190.63.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,501 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 40b66cce-2f49-4cd0-a968-4daeb9b19a3d, Nodes: dd7c3732-6ec9-4bbe-abf0-c12b9c60602e{ip: 161.114.6.29, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,502 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 10c44a29-0eb1-41f2-b72c-67570fc7f652, Nodes: a51d5196-ed12-4ff4-8896-a9fe5a0bb653{ip: 83.190.63.220, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,502 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1bec6ed6-9102-48e5-b9e9-b9e126f52ffb, Nodes: a50f0434-ee10-4d25-a359-82b83a9452ea{ip: 86.236.30.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,503 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9ea352a7-ca35-4856-a89f-3044ff130932, Nodes: bd74c734-42a1-4fed-bd21-764d5b9f0336{ip: 58.141.249.174, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,503 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c3b51af3-87d5-4317-9c14-e7670e794ee9, Nodes: c05e3d72-c511-4b48-b522-93ac7368c7f5{ip: 223.127.75.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,504 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 29885675-e455-4d9b-9b7f-75e23a7b4dfd, Nodes: c05e3d72-c511-4b48-b522-93ac7368c7f5{ip: 223.127.75.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,504 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: c7d5a466-8952-4afa-a748-dfece4e1d42a, Nodes: f7c47e3f-a9ef-44bf-b029-aebdc9aa95b2{ip: 207.57.12.116, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,505 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6633c02e-6f9f-4f22-b60b-106c8e1805f0, Nodes: 7db809c9-8df5-4c68-9b38-e3c417542deb{ip: 217.70.94.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,506 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6ec95708-178f-44a6-9b6f-e2b0cda10c9a, Nodes: a50f0434-ee10-4d25-a359-82b83a9452ea{ip: 86.236.30.250, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 08:55:45,507 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7cea45a5-9d1d-4a27-9148-169afd7b48fe, Nodes: c05e3d72-c511-4b48-b522-93ac7368c7f5{ip: 223.127.75.114, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
