2019-06-18 09:07:12,330 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 09:07:12,611 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-18 09:07:12,612 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-18 09:07:13,103 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 13dc24a9-a9db-4933-baea-1ee2d514b7bb, Nodes: a6b733eb-8ba5-47cf-a680-9d495006ef31{ip: 3.130.206.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,104 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 483b7a70-ae19-4dbd-84d7-c5d59118b3e9, Nodes: 9fe75db3-df70-420c-b74e-d486beed8717{ip: 253.44.179.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,105 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 400de4b7-08d2-4808-bca7-9876c6e16374, Nodes: a6b733eb-8ba5-47cf-a680-9d495006ef31{ip: 3.130.206.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,106 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 64dc7ef4-5eee-4202-96f3-addad744d58e, Nodes: dce49f3e-99d8-410f-a4af-66d6a29610e0{ip: 122.130.52.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,106 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 632b15aa-4f72-4c51-93c7-0c2cc4c715be, Nodes: a6b733eb-8ba5-47cf-a680-9d495006ef31{ip: 3.130.206.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,107 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ede651c0-5b40-462d-8dbc-d7e1efee624d, Nodes: a6b733eb-8ba5-47cf-a680-9d495006ef31{ip: 3.130.206.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,108 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 94b580a7-16c5-414b-b91b-b68f1cb2c9d5, Nodes: 9fe75db3-df70-420c-b74e-d486beed8717{ip: 253.44.179.133, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,109 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: d39bf77a-6817-4ee9-bc02-64f6455ff0cf, Nodes: 8de5f59c-74b9-47dd-a8ab-270df4501d6a{ip: 126.53.5.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,110 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 631ea387-45b3-4363-bffd-0ac00e5fb3d2, Nodes: dce49f3e-99d8-410f-a4af-66d6a29610e0{ip: 122.130.52.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,111 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 591b44de-5c0b-4c77-b47f-c668b5ab359e, Nodes: 8de5f59c-74b9-47dd-a8ab-270df4501d6a{ip: 126.53.5.71, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,111 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bdcf9dd2-02f8-42a6-9255-99397002d558, Nodes: fed3cdf6-3150-48ba-bf41-8c4414585db5{ip: 142.61.61.68, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,113 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 74aa569b-70d5-43ef-9568-ae3597930241, Nodes: dce49f3e-99d8-410f-a4af-66d6a29610e0{ip: 122.130.52.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,115 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: b6fc1bae-2af0-4a0f-bae8-66eafe355269, Nodes: 84de6b6f-2e11-4ff5-9522-bfd53f997a4d{ip: 107.228.113.38, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 09:07:13,117 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a3eb2d8-9707-4d74-9667-c7132a8f1795, Nodes: a6b733eb-8ba5-47cf-a680-9d495006ef31{ip: 3.130.206.40, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
