2019-06-18 15:57:01,826 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5d81f663-5480-4173-a14f-5b3cdad7f964, Nodes: 7155ddb3-a45b-45f6-b1f1-61506c4473e4{ip: 245.35.227.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,827 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: bc6be8a2-af14-4613-bd7b-31200b839983, Nodes: b3a429cb-8a5d-4904-a39b-0dd38430c1f7{ip: 13.159.118.209, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,828 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: e6689dbe-5985-45d2-92f7-d127d9d3d131, Nodes: f5aa4026-454d-42f9-8572-87a7537f76d7{ip: 151.193.241.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,828 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cae6dd9f-1301-4c92-a35c-ab1a7a1c3ba6, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,829 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: cac6f2e6-1c45-49b6-9e70-eea00bd85419, Nodes: f5aa4026-454d-42f9-8572-87a7537f76d7{ip: 151.193.241.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,830 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 54683a7e-3fd2-4de1-897a-5453c5212359, Nodes: 509e4221-de95-4b87-9254-d62ecd51be71{ip: 252.6.172.105, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,830 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: df408604-ff9d-48e8-bb11-c5012a96dfe0, Nodes: 4d1a8bce-9c5c-4abb-aaff-e24a0948f6f7{ip: 8.235.107.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,831 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4cbe4bca-a2d4-4c63-ad35-3eb0238b181a, Nodes: 23c79f9f-c17d-4f97-8418-0da510ed0758{ip: 214.245.203.210, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,832 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: a5e0e39d-743d-47df-ba7d-c5c8305adf9e, Nodes: 8073290e-89ad-4e4f-a908-b42dd389f991{ip: 91.166.135.164, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,833 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 94ca05cb-2b83-48ee-b339-6dc85ae4eb2b, Nodes: 7155ddb3-a45b-45f6-b1f1-61506c4473e4{ip: 245.35.227.8, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-18 15:57:01,835 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 6b569036-b5a2-4536-80ac-0d8eb93b5ec3, Nodes: f5aa4026-454d-42f9-8572-87a7537f76d7{ip: 151.193.241.255, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
