2019-06-15 11:22:06,560 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 11:22:06,721 INFO  pipeline.SCMPipelineManager (SCMPipelineManager.java:initializePipelineState(126)) - No pipeline exists in current db
2019-06-15 11:22:06,721 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-15 11:22:07,049 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 5ee3022a-84f3-44b9-b621-d92c4387334d, Nodes: 33696b27-a028-4484-85af-d0dfadd7ee4a{ip: 69.120.81.147, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,050 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 78fe5e81-fd25-4950-be08-1e912a48795f, Nodes: 5da127c5-b0e7-4d1e-ad2f-5f528745cd4e{ip: 155.118.34.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,050 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7298e619-0925-420b-964f-6ea4fa0a5e22, Nodes: 5da127c5-b0e7-4d1e-ad2f-5f528745cd4e{ip: 155.118.34.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,051 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 30b6f433-9f1c-497d-8699-2cf9a962fe55, Nodes: 1b9c3795-8c4d-4186-a374-af77edc973d4{ip: 221.165.172.183, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,051 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: ae483849-b201-4a93-999e-4e2c1e8854b9, Nodes: 0373392e-1e22-4212-aa0e-74c6096f39a7{ip: 28.201.229.15, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,052 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9de4ba7d-4324-4e6e-a128-de1dd3250efe, Nodes: 5da127c5-b0e7-4d1e-ad2f-5f528745cd4e{ip: 155.118.34.218, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,052 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 845ee430-d2b6-4d42-9367-1341fd182418, Nodes: 4a95e09e-ad32-449a-b811-185e539862f0{ip: 104.134.104.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,053 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 08b05970-8f17-4e36-84a4-3b55140805c5, Nodes: 0373392e-1e22-4212-aa0e-74c6096f39a7{ip: 28.201.229.15, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,054 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 7a4a8720-09f3-4bf1-80bf-8501dcee85a8, Nodes: 37c2a347-4a17-4af1-a439-4e2e30e1d958{ip: 149.41.50.157, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-15 11:22:07,055 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 9e61b6e2-11fa-4ee3-aeb3-ca4b60547c1d, Nodes: 4a95e09e-ad32-449a-b811-185e539862f0{ip: 104.134.104.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
