2019-06-17 23:21:38,897 WARN  server.ServerUtils (ServerUtils.java:getScmDbDir(145)) - ozone.scm.db.dirs is not configured. We recommend adding this setting. Falling back to ozone.metadata.dirs instead.
2019-06-17 23:21:39,475 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: f77e09ba-412a-4221-9938-7479aa33c281, Nodes: 7e25dbb2-e518-4df4-ae2f-1a0da15e69e3{ip: 120.54.252.16, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,476 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 459f7348-66ce-4601-a067-663e1772ba4a, Nodes: fe58cf06-dd16-4df3-8b3d-a057635b6f11{ip: 226.231.84.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,476 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3ec70960-b4b1-4c86-badd-d1f7da210a7c, Nodes: afb41310-9cb4-41cb-bdaf-ec1d6ac05e2b{ip: 33.138.77.57, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,476 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 3500500d-fe1f-43a6-818b-3ac30f6aa7d6, Nodes: c174f75e-7c17-4192-aef8-7f7016ebbd1a{ip: 245.203.207.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,477 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 1a37f932-e5d3-463b-8db8-4f846295f06a, Nodes: bede538b-9582-4e22-9257-002f12dcf80c{ip: 169.186.220.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,477 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 23c23a4d-a1f8-4025-9ec4-0bf8fad4ea75, Nodes: 20cc0880-ce7c-439d-a817-166ee511b3bd{ip: 209.245.58.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,478 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: fcee013a-c939-4b81-8ea6-f76eae065a81, Nodes: c174f75e-7c17-4192-aef8-7f7016ebbd1a{ip: 245.203.207.138, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,479 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 058c4ae9-b90b-43b9-a7df-6dfd45745b79, Nodes: 20cc0880-ce7c-439d-a817-166ee511b3bd{ip: 209.245.58.120, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,480 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: abaf9863-f8e2-4240-9a4b-4f654a7deec0, Nodes: 25572972-a584-40b8-bc25-dbf543274fef{ip: 245.149.64.148, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,481 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 4e0a8639-cdab-4dce-84f8-e13f0b441a39, Nodes: bede538b-9582-4e22-9257-002f12dcf80c{ip: 169.186.220.59, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
2019-06-17 23:21:39,482 INFO  pipeline.PipelineStateManager (PipelineStateManager.java:addPipeline(56)) - Created pipeline Pipeline[ Id: 8ce4a03f-6432-4996-a6d4-99348116e9a2, Nodes: fe58cf06-dd16-4df3-8b3d-a057635b6f11{ip: 226.231.84.47, host: localhost, networkLocation: /default-rack, certSerialId: null}, Type:STAND_ALONE, Factor:ONE, State:OPEN]
